	gene	group	pval
253	ACOT11	StableCOPD	0.4532692626689131
254	ACOT13	AECOPD	0.5210743612877591
255	ACOT13	StableCOPD	0.9689241350479457
256	ACOT2	AECOPD	0.2453282247197065
257	ACOT2	StableCOPD	0.5020653337726311
258	ACOT4	AECOPD	0.8089535374386279
259	ACOT4	StableCOPD	0.04687262299026662
260	ACOT7	AECOPD	0.019235808853238168
261	ACOT7	StableCOPD	0.046612320441838495
262	ACOT8	AECOPD	0.004335300647718365
263	ACOT8	StableCOPD	0.5046791059587141
264	ACOT9	AECOPD	0.014440244234524502
265	ACOT9	StableCOPD	0.16037315149511822
266	ACOX1	AECOPD	0.000678631375571781
267	ACOX1	StableCOPD	0.08677435134360645
268	ACOX2	AECOPD	0.3764286419109596
269	ACOX2	StableCOPD	0.764422200900823
270	ACOX3	AECOPD	0.3365106919114883
271	ACOX3	StableCOPD	0.8957469047746182
272	ACP1	AECOPD	0.039432026458216085
273	ACP1	StableCOPD	0.16538411843914902
274	ACP2	AECOPD	0.009997073771922271
275	ACP2	StableCOPD	0.6361524403490263
276	ACP5	AECOPD	0.7605299684573312
277	ACP5	StableCOPD	0.9691810898439777
278	ACP6	AECOPD	0.35455345074878786
279	ACP6	StableCOPD	0.867459296695447
280	ACPP	AECOPD	0.00015684257020853742
281	ACPP	StableCOPD	0.02899068258445281
282	ACRBP	AECOPD	0.40154764422675937
283	ACRBP	StableCOPD	0.31064219437240537
284	ACRC	AECOPD	0.004956657879221615
285	ACRC	StableCOPD	0.0975802112169376
286	ACSBG1	AECOPD	0.28415665191069417
287	ACSBG1	StableCOPD	0.3719854110221652
288	ACSF2	AECOPD	0.0284835840294948
289	ACSF2	StableCOPD	0.2711703066452522
290	ACSF3	AECOPD	0.6075898617388814
291	ACSF3	StableCOPD	0.4566043743054887
292	ACSL1	AECOPD	0.04052375457860036
293	ACSL1	StableCOPD	0.04450547973412633
294	ACSL3	AECOPD	0.020918441104687324
295	ACSL3	StableCOPD	0.049319036889026724
296	ACSL4	AECOPD	0.011745808630299392
297	ACSL4	StableCOPD	0.8144522752933068
298	ACSL5	AECOPD	0.9266183394500435
299	ACSL5	StableCOPD	0.8484788231550398
300	ACSL6	AECOPD	0.7885821731798418
301	ACSL6	StableCOPD	0.6371540784553125
302	ACSM1	AECOPD	0.8658257729233525
303	ACSM1	StableCOPD	0.2311400620069577
304	ACSM3	AECOPD	0.5953361140915043
305	ACSM3	StableCOPD	0.910062556208243
306	ACSS1	AECOPD	0.17689089572292205
307	ACSS1	StableCOPD	0.41366114484032956
308	ACSS2	AECOPD	0.0004050854722490449
309	ACSS2	StableCOPD	0.0071911472739992766
310	ACTA2	AECOPD	0.9658194317671082
311	ACTA2	StableCOPD	0.9980707147649449
312	ACTA2-AS1	AECOPD	0.4900357593764969
313	ACTA2-AS1	StableCOPD	0.34941686323244936
314	ACTB	AECOPD	0.0009975740614895923
315	ACTB	StableCOPD	0.07813846559699034
316	ACTG1	AECOPD	0.023094823833613165
317	ACTG1	StableCOPD	0.1800096472114252
318	ACTG1P17	AECOPD	0.782079249530517
319	ACTG1P17	StableCOPD	0.7896843610128395
320	ACTG1P20	AECOPD	0.11347185693338657
321	ACTG1P20	StableCOPD	0.75122495213742
322	ACTG1P4	AECOPD	0.14500801224508453
323	ACTG1P4	StableCOPD	0.10068797413381114
324	ACTG2	StableCOPD	0.7640359132290425
325	ACTL10	AECOPD	0.30601483680437025
326	ACTL10	StableCOPD	0.12422786729795154
327	ACTL6A	AECOPD	0.28277964101603226
328	ACTL6A	StableCOPD	0.5889140476047503
329	ACTN1	AECOPD	0.9539843487815169
330	ACTN1	StableCOPD	0.8110222216200483
331	ACTN3	AECOPD	0.5466686585887184
332	ACTN3	StableCOPD	0.9918793124578071
333	ACTN4	AECOPD	0.08022593461922845
334	ACTN4	StableCOPD	0.3405204770851109
335	ACTR10	AECOPD	0.11303337717840134
336	ACTR10	StableCOPD	0.47701284286051726
